campaign_id,campaign_name,sub_category,category,country,launched,deadline,goal_usd,pledged_usd,backers,outcome
288,Amare Dolls - Talaya: A Fantasy Ball Joint Doll,Sculpture,Art,GB,2015-01-15 00:00:00,2015-02-14 00:00:00,3104.65,3461.68,35,successful
289,Dirty Santa: The Official Christmas Party Game,Playing Cards,Games,US,2017-11-07 00:00:00,2017-11-18 00:00:00,3000,1323,44,failed
290,Big Game Jerky USA . COM,Events,Food,US,2015-04-27 00:00:00,2015-05-12 00:00:00,2000,24,2,failed
291,Sacimals - Stuffed Animal Furniture,Product Design,Design,US,2013-08-09 00:00:00,2013-09-09 00:00:00,38150,4361,42,failed
292,Ambition Handicapped by Laziness,Poetry,Publishing,NZ,2015-07-03 00:00:00,2015-08-01 00:00:00,1164.51,3.88,1,failed
293,Monkey Chef #2,Comic Books,Comics,US,2014-05-06 00:00:00,2014-06-05 00:00:00,3500,4052,125,successful
294,Little Training Book Series,Children's Books,Publishing,US,2013-11-17 00:00:00,2013-12-17 00:00:00,1500,21,2,failed
295,Spicy Goodness - Spice Recipes From Around the World,Cookbooks,Food,AU,2014-09-16 00:00:00,2014-10-16 00:00:00,571.11,28.56,1,canceled
296,Life's a beach...,Nature,Photography,AU,2015-12-14 00:00:00,2016-01-13 00:00:00,13551.93,0.89,2,failed
297,the Human Light Suit )'( Burning Man 2013,Photography,Photography,US,2013-07-30 00:00:00,2013-08-14 00:00:00,4700,5656,74,successful
298,Swedish Folk Music Treasures,World Music,Music,US,2014-04-26 00:00:00,2014-05-26 00:00:00,5000,6190,64,successful
299,Help save Studio 2 Leederville. Art space and event venue,Art,Art,AU,2015-06-09 00:00:00,2015-07-24 00:00:00,5195.13,962.99,22,failed
300,"""Represent"" Web Series (Canceled)",Webseries,Film & Video,US,2016-03-17 00:00:00,2016-04-16 00:00:00,3300,40,2,canceled
301,Marina's Mind,Children's Books,Publishing,US,2012-02-12 00:00:00,2012-03-13 00:00:00,850,270,8,failed
302,kill yourself zine,Art Books,Publishing,US,2012-04-10 00:00:00,2012-05-10 00:00:00,300,83,11,failed
303,Nature Photography,Photography,Photography,US,2014-03-05 00:00:00,2014-03-11 00:00:00,2600,0,0,failed
304,Handmade Pocket squares by sharpfellas.com (Canceled),Apparel,Fashion,CA,2014-06-13 00:00:00,2014-07-13 00:00:00,4648.86,313.46,7,canceled
305,The Eubie Live Project,Jazz,Music,US,2012-06-13 00:00:00,2012-07-13 00:00:00,4000,725,15,failed
306,Penn State SOMA Arts Crawl 2013,Performance Art,Art,US,2013-03-06 00:00:00,2013-03-30 00:00:00,800,806,20,successful
